cadence;median_wfd_u;median_wfd_g;median_wfd_r;median_wfd_i;median_wfd_z;median_visits_y;median_open_shutter_fraction_per_night;foarea;median_single_visit_depth_u_wfd;median_single_visit_depth_g_wfd;median_single_visit_depth_r_wfd;median_single_visit_depth_i_wfd;median_single_visit_depth_z_wfd;median_single_visit_depth_y_wfd;total_filter_changes;median_filter_changes_per_night;single_exposure_time;single_visits;median_inter_night_gap_wfd_u;median_inter_night_gap_wfd_g;median_inter_night_gap_wfd_r;median_inter_night_gap_wfd_i;median_inter_night_gap_wfd_z;median_inter_night_gap_wfd_y;Rolling
baseline2018a;62.0;87.0;200.0;199.0;183.0;182.0;0.72;18056.56;23.32;24.63;24.27;23.7;22.79;22.00;10644.0;2.0;30;0;23.96;26.94;7.98;11.01;6.90;3.96;0
colossus_2664;60.0;84.0;195.0;193.0;178.0;176.0;0.74;19404.47;23.33;24.65;24.27;23.7;22.81;22.00;10512.0;2.0;30;0;24.92;26.40;7.96;10.96;6.49;3.98;0
colossus_2665;61.0;86.0;198.0;197.0;180.0;181.0;0.73;17819.88;23.31;24.61;24.22;23.66;22.76;21.96;11640.0;2.0;30;0;24.95;26.94;8.93;10.97;7.47;3.99;0
colossus_2667;64.0;89.0;204.0;203.0;192.0;195.0;0.75;18056.56;23.31;24.63;24.24;23.7;22.8;21.94;11204.0;2.0;30;1;24.94;14.43;3.03;4.98;2.94;2.99;0
kraken_2026;64.0;90.0;206.0;204.0;186.0;188.0;0.74;18056.56;23.34;24.65;24.26;23.69;22.78;22.0;10813.0;2.0;30;0;23.96;25.86;7.94;10.96;5.99;3.96;0
kraken_2035;61.0;86.0;196.0;196.0;183.0;182.0;0.73;17983.54;23.32;24.65;24.27;23.70;22.77;22.02;14000.0;3.0;30;0;25.91;28.39;8.47;11.93;8.01;3.99;0
kraken_2036;51.0;71.0;166.0;164.0;160.0;160.0;0.68;4716.83;23.29;24.64;24.24;23.67;22.74;21.97;18232.00;4.00;30;0;3.01;16.93;3.97;5.97;2.96;2.00;1
kraken_2042;68.0;96.0;219.0;219.0;198.0;199.0;0.79;18056.56;23.3;24.64;24.27;23.69;22.77;22.00;11402.0;2.0;30;0;21.93;26.91;7.46;10.94;6.92;3.99;0
kraken_2044;46.0;67.0;152.0;151.0;147.0;142.0;0.74;6061.38;23.29;24.6;24.24;23.69;22.8;21.98;10364.0;2.0;30;1;25.93;17.94;4.00;6.48;2.98;4.01;0
mothra_2045;47.0;67.0;157.0;148.0;157.0;156.0;0.62;4945.96;23.26;24.62;24.24;23.66;22.70;21.91;26436.0;7.0;30;0;4.98;19.9;3.98;6.96;2.49;2.02;1
mothra_2049;46.0;65.0;153.0;149.0;161.0;143.0;0.75;6061.38;23.23;24.59;24.22;23.65;22.73;21.96;9583.0;2.0;30;0;3.99;16.03;3.98;6.01;2.00;2.04;1
nexus_2097;46.0;64.0;149.0;149.0;155.0;147.0;0.74;6061.38;23.24;24.60;24.23;23.67;22.75;21.96;10803.0;2.0;30;0;2.98;16.95;3.97;6.45;1.98;2.02;1
pontus_2002;47.0;66.0;151.0;150.0;142.0;142.0;0.74;6061.38;23.28;24.61;24.24;23.68;22.79;22.01;10464.00;2.0;30;0;26.93;32.91;13.97;13.44;18.95;4.99;0
pontus_2489;89.0;126.0;289.0;286.0;270.0;267.0;0.73;18059.08;23.59;24.35;24.00;23.46;22.54;21.74;11708.0;2.0;20;0;3.94;17.94;4.97;7.99;2.96;2.15;0
pontus_2502;49.0;68.0;164.0;168.0;144.0;211.0;0.73;7687.09;23.24;24.60;24.24;23.62;23.13;21.84;8907.00;2.0;30;0;27.02;28.44;11.97;11.94;5.99;1.05;1
minion_1016_desc_dithered_v4;62.0;88.0;199.0;201.0;180.0;180.0;0.73;18057.40;23.14;24.47;24.16;23.40;22.23;21.57;14194.0;3.0;30;0;-1;-1;-1;-1;-1;-1;0
